"L66496000807","66496","000807"
"L66196001242","66196","001242"
"L66496000814","66496","000814"
"L66121017714","66121","017714"
"L66203000023","66203","000023"
"L66630000896","66630","000896"
"L66704001166","66704","001166"
"L66861004997","66861","004997"
"L66941005459","66941","005459"
"L66523001778","66523","001778"
"L66523001782","66523","001782"
"L66343006048","66343","006048"
"L66343006040","66343","006040"
"L66260000045","66260","000045"
"L66501000122","66501","000122"
"L66119002272","66119","002272"
"L66196000583","66196","000583"
"L66373002842","66373","002842"
"L66578001049","66578","001049"
"L66808001255","66808","001255"
"L66468002070","66468","002070"
"L66744006147","66744","006147"
"L66260000823","66260","000823"
"L65809004676","65809","004676"
"L66084008603","66084","008603"
"L66253003140","66253","003140"
"L66366004168","66366","004168"
"L66136000328","66136","000328"
"L66581008536","66581","008536"
"L66289001210","66289","001210"
"L66227000985","66227","000985"
"L66500002928","66500","002928"
"L66461000243","66461","000243"
"L66889002908","66889","002908"
"L66371004235","66371","004235"
"L66568001474","66568","001474"
"L66224003293","66224","003293"
"L66227003897","66227","003897"
"L65835005073","65835","005073"
"L65833001981","65833","001981"
"L66850001196","66850","001196"
"L66124001651","66124","001651"
"L66097005930","66097","005930"
"L66097002429","66097","002429"
"L66767000834","66767","000834"
"L66399001146","66399","001146"
"L66808000079","66808","000079"
"L66264000848","66264","000848"
"L66224016129","66224","016129"
"L66581003634","66581","003634"
"L66398002067","66398","002067"
"L66331002004","66331","002004"
"L66943009351","66943","009351"
"L66806000551","66806","000551"
"L66079000790","66079","000790"
"L66704001631","66704","001631"
"L66257006437","66257","006437"
"L66294000242","66294","000242"
"L66533001698","66533","001698"
"L66636000316","66636","000316"
"L66805000155","66805","000155"
"L65906001110","65906","001110"
"L66567000921","66567","000921"
"L66562001124","66562","001124"
"L66496001055","66496","001055"
"L65883003561","65883","003561"
"L66399001612","66399","001612"
"L65910020990","65910","020990"
"L66496000238","66496","000238"
"L66401002149","66401","002149"
"L66257002140","66257","002140"
"L66274000642","66274","000642"
"L66523005241","66523","005241"
"L67057000563","67057","000563"
"L66461002423","66461","002423"
"L66012003096","66012","003096"
"L66136001429","66136","001429"
"L66366001753","66366","001753"
"L66581008842","66581","008842"
"L66628000225","66628","000225"
"L66371002019","66371","002019"
"L66773001260","66773","001260"
"L66635002944","66635","002944"
"L65964000251","65964","000251"
"L66803002344","66803","002344"
"L66578001959","66578","001959"
"L66866010125","66866","010125"
"L66365003433","66365","003433"
"L66628003439","66628","003439"
"L66659001158","66659","001158"
"L66560000833","66560","000833"
"L66495018610","66495","018610"
"L66113000166","66113","000166"
"L66373001928","66373","001928"
"L66259004120","66259","004120"
